Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,lat,lng,Spring_tavg,Spring_tmin,Spring_tmax,Spring_prcp,Spring_tsun,Summer_tavg,Summer_tmin,Summer_tmax,Summer_prcp,Summer_tsun,Fall_tavg,Fall_tmin,Fall_tmax,Fall_prcp,Fall_tsun
Pomerol 2011,France,Pomerol,Château La Providence,4.2,100,95.0,2011,44.9311234,-0.1999904,11.797492027282715,6.987668991088867,16.682185173034668,1.497204303741455,35993.724609375,20.755125681559246,15.581951459248861,25.71508725484212,1.5881362756093342,42129.3125,13.685327847798666,9.711468060811361,17.98084036509196,2.5420430103937783,26902.257486979168
Lirac 2017,France,Lirac,Château Mont-Redon,4.3,100,15.5,2017,44.0372,4.69136,12.519305864969889,7.7049336433410645,17.637013117472332,2.0133692026138306,36507.506510416664,23.403791427612305,17.866027832031254,29.15835698445638,1.038064459959666,46542.971354166664,15.658652941385904,11.420041720072428,20.35387674967448,3.1709320346514382,29718.708984375
Erta e China Rosso di Toscana 2015,Italy,Toscana,Renzo Masi,3.9,100,7.45,2015,43.4586541,11.1389204,12.901816685994467,7.454741954803467,18.033560434977215,1.7127599318822224,37236.321614583336,21.819316864013672,16.52520751953125,26.723918279012043,2.6658424536387124,43679.643229166664,15.870610872904459,11.689007123311361,20.2668031056722,3.776236613591512,27200.600911458332
Bardolino 2019,Italy,Bardolino,Cavalchina,3.5,100,8.72,2019,45.5475595,10.7242145,13.786392052968344,10.096198717753092,17.61297384897868,3.831003506978353,31742.863932291668,24.33410580952962,20.728905359903973,27.615214029947918,3.034480253855387,44313.166666666664,16.70418866475423,13.822829246520996,19.648546536763508,2.877096732457479,28358.044270833332
Ried Scheibner Pinot Noir 2016,Austria,Carnuntum,Markowitsch,3.9,100,29.15,2016,48.1141485,16.8657834,10.556782404581705,5.672388950983684,15.272370338439941,1.2461290558179219,33881.778645833336,22.729397455851238,17.319413820902508,27.489072799682617,1.1909319162368774,42731.930989583336,11.746374607086182,8.244360287984213,15.453248659769693,2.063655992348989,24221.5
Gigondas (Nobles Terrasses) 2017,France,Gigondas,Vieux Clocher,3.7,100,19.9,2017,44.1641127,5.0051053,11.4524245262146,6.330795923868815,16.577230135599773,2.004014253616333,36760.32421875,22.451358159383137,16.698036193847656,27.985634485880535,1.0711469252904255,46474.62109375,14.423513094584147,9.902372519175211,19.165670077006023,3.0321863889694214,29498.030598958332
Marion's Vineyard Pinot Noir 2016,New Zealand,Wairarapa,Schubert,4.0,100,43.87,2016,-41.2361798,175.2196902,13.733924547831217,10.9232759475708,17.36019293467204,2.0635841290156045,31113.016927083332,8.650547504425049,5.955641428629558,11.793329556783041,2.540465990702311,24881.615885416668,11.248347282409668,8.179530461629232,15.102970441182455,1.9305017590522766,38724.569010416664
Chianti 2015,Italy,Chianti,Castello Montaùto,3.6,100,10.75,2015,43.5824597,11.3168731,12.310707728068033,6.768896182378133,17.300867398579914,2.0118995904922485,36850.80859375,21.229246775309246,15.755329767862955,26.045616785685223,3.1543368101119995,44709.42578125,15.302604039510092,11.220742225646973,19.617749214172363,4.432079156239827,27586.003255208332
Tradition 2014,France,Minervois,Domaine des Aires Hautes,3.5,100,6.9,2014,43.2718,2.52099,11.1942777633667,7.441994825998942,15.190237681070963,3.1641577084859214,34613.48828125,21.543642044067383,16.75362491607666,26.531330744425457,1.32154115041097,45917.498697916664,14.783258120218912,11.77751382191976,18.33134937286377,3.085304617881775,29104.552083333332
Chianti Riserva 2013,Italy,Chianti,Poggiotondo,3.9,100,20.95,2013,43.5824597,11.3168731,12.45348040262858,6.862497965494792,17.633787790934246,2.2472043534119925,38477.118489583336,23.88396962483724,17.719738960266113,29.62050946553548,0.8153764009475708,46730.829427083336,14.918400764465332,10.984989007314047,19.086422602335613,4.691003481547038,27002.302083333332
