Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,lat,lng,Jan_tavg,Jan_tmin,Jan_tmax,Jan_prcp,Jan_tsun,Feb_tavg,Feb_tmin,Feb_tmax,Feb_prcp,Feb_tsun,Mar_tavg,Mar_tmin,Mar_tmax,Mar_prcp,Mar_tsun,Apr_tavg,Apr_tmin,Apr_tmax,Apr_prcp,Apr_tsun,May_tavg,May_tmin,May_tmax,May_prcp,May_tsun,Jun_tavg,Jun_tmin,Jun_tmax,Jun_prcp,Jun_tsun,Jul_tavg,Jul_tmin,Jul_tmax,Jul_prcp,Jul_tsun,Aug_tavg,Aug_tmin,Aug_tmax,Aug_prcp,Aug_tsun,Sep_tavg,Sep_tmin,Sep_tmax,Sep_prcp,Sep_tsun,Oct_tavg,Oct_tmin,Oct_tmax,Oct_prcp,Oct_tsun,Nov_tavg,Nov_tmin,Nov_tmax,Nov_prcp,Nov_tsun,Dec_tavg,Dec_tmin,Dec_tmax,Dec_prcp,Dec_tsun
Crémant de Loire Brut 2017,France,Crémant de Loire,Langlois-Chateau,3.9,25,14.41,2017,47.217396,1.647682,6.248989582061768,3.8073225021362305,8.878290176391602,3.019354820251465,13353.708984375,6.411612033843994,3.518724203109741,9.3394136428833,2.5586206912994385,19021.08203125,7.007927894592285,3.4234516620635986,10.68635368347168,2.7838711738586426,27444.7578125,9.726444244384766,5.0269999504089355,14.048666000366211,2.2133331298828125,34392.1640625,14.04099178314209,9.54764461517334,18.029903411865234,6.012903213500977,30252.287109375,17.136512756347656,13.718667030334473,20.61366844177246,2.1399998664855957,28539.880859375,20.665523529052734,15.484742164611816,25.037967681884766,0.20000000298023224,41112.33203125,22.155981063842773,16.36054801940918,27.560548782348633,0.48709675669670105,41719.47265625,19.631235122680664,14.423666000366211,24.720335006713867,0.9933332800865173,31315.802734375,12.178894996643066,8.055708885192871,16.565385818481445,1.7806450128555298,28371.291015625,8.47713851928711,5.723666667938232,11.228666305541992,2.6399998664855957,14949.107421875,4.6794328689575195,1.7686129808425903,8.679903030395508,0.5032258033752441,17774.076171875
Vicar's Choice Sauvignon Blanc Bubbles 2019,New Zealand,Marlborough,Saint Clair,4.2,25,11.9,2019,-41.4744747,173.8330263,20.133243560791016,16.08479118347168,25.407371520996094,3.9451613426208496,34177.046875,17.689348220825195,13.819929122924805,22.741357803344727,6.035714149475098,33917.4140625,16.00145721435547,11.860596656799316,21.407371520996094,2.9258062839508057,32388.5546875,12.737041473388672,8.986833572387695,17.74850082397461,2.62333345413208,28389.732421875,10.34876823425293,6.6767258644104,14.908984184265137,1.2838709354400635,24547.8828125,7.559680461883545,4.018499851226807,11.93183422088623,4.356666564941406,20727.33203125,7.680959224700928,3.938016176223755,12.534790992736816,3.412903308868408,22815.740234375,8.381497383117676,4.205758094787598,13.76220989227295,2.6032259464263916,25307.939453125,9.673152923583984,5.435166835784912,15.24850082397461,1.1766666173934937,34208.83984375,12.223701477050781,7.444468021392822,18.167049407958984,2.1516127586364746,35558.90234375,13.877041816711426,9.850167274475098,18.92683219909668,6.756667137145996,36561.12109375,16.466510772705078,12.336402893066406,21.6331787109375,4.0580644607543945,38551.26171875
Athesis Brut 2016,Italy,Südtirol - Alto Adige,Kettmeir,4.0,25,21.5,2016,46.441472,11.282121,1.7186639308929443,-2.002774238586426,5.46980619430542,1.6225807666778564,23202.609375,2.5545654296875,-1.2649285793304443,6.492214202880859,1.9928570985794067,24410.751953125,7.754214763641357,3.4552905559539795,12.090773582458496,2.0774195194244385,30993.443359375,11.467055320739746,6.323999881744385,16.249000549316406,1.06333327293396,39105.83984375,16.02182388305664,11.763355255126953,20.118192672729492,3.4032256603240967,37741.07421875,19.94330596923828,15.328999519348145,24.290668487548828,1.1800000667572021,44556.51171875,23.886943817138672,18.539161682128906,28.52303123474121,1.8677419424057007,46802.73046875,21.47249412536621,17.008516311645508,25.581098556518555,2.7161288261413574,39429.8046875,15.78761100769043,12.279000282287598,19.375667572021484,2.6399998664855957,33740.49609375,11.790303230285645,8.095613479614258,15.411742210388184,3.593548536300659,26118.0625,9.578166961669922,5.432333469390869,14.162333488464355,0.2566666901111603,26739.412109375,6.001728534698486,2.173032283782959,10.118193626403809,0.0,25961.576171875
Riesling Extra Brut 2015,Germany,Baden,Griesel & Compagnie,4.0,25,22.13,2015,53.0023496,9.0820955,2.622704029083252,0.7970321774482727,4.488967418670654,1.5419354438781738,10799.6845703125,5.318966865539551,2.3090713024139404,8.42871379852295,1.539285659790039,20172.578125,7.395620822906494,2.9631612300872803,12.066387176513672,0.874193549156189,27346.740234375,11.645916938781738,7.279666423797607,16.10466766357422,2.316666603088379,34262.1875,12.879222869873047,8.834129333496094,16.738967895507812,3.8709676265716553,32205.66796875,15.80341625213623,11.669666290283203,19.65300178527832,1.9766666889190674,37806.52734375,20.15146827697754,15.661548614501953,24.384130477905273,2.435483932495117,41074.23828125,16.630970001220703,12.890581130981445,20.54864501953125,1.9096773862838745,38555.1015625,16.15654182434082,12.707999229431152,19.81800079345703,1.090000033378601,28005.83984375,13.07203197479248,10.464774131774902,15.888968467712402,2.477419376373291,17942.955078125,7.619388103485107,5.773000240325928,9.751333236694336,0.6800000071525574,13553.265625,3.3302981853485107,1.366387128829956,5.026064395904541,2.1709678173065186,7375.0732421875
Brut 2012,United States,Anderson Valley,Roederer Estate,3.9,26,57.51,2012,39.0600021,-123.4305338,9.146228790283203,4.840516090393066,15.551806449890137,1.0193548202514648,27282.0703125,7.8226518630981445,3.292071580886841,13.929572105407715,3.5607142448425293,29476.501953125,9.294280052185059,6.380838871002197,13.580839157104492,9.509676933288574,26016.90234375,10.772527694702148,6.515999794006348,16.57266616821289,0.5266667008399963,37337.0703125,12.52230453491211,7.808258056640625,18.86148452758789,1.577419400215149,43052.4453125,16.520444869995117,11.26433277130127,23.480998992919922,1.3333333730697632,43529.57421875,19.622034072875977,13.495355606079102,27.016321182250977,0.009677419438958168,46484.78125,20.002344131469727,13.801807403564453,28.187292098999023,0.0,45501.94921875,20.67704200744629,14.2160005569458,29.34433364868164,0.030000001192092896,41189.046875,15.83520793914795,11.546967506408691,22.021162033081055,2.745161294937134,31993.6484375,10.22801399230957,6.689333438873291,15.641000747680664,2.243333339691162,26406.138671875,7.630838871002197,2.742128849029541,14.776000022888184,0.3838709890842438,27579.328125
Dom Ruinart Rosé Brut Champagne 2007,France,Champagne,Ruinart,4.4,27,269.0,2007,45.831944,-0.906667,5.172583103179932,2.4874353408813477,8.116467475891113,1.2419354915618896,18255.224609375,4.599145412445068,1.6169284582138062,8.195500373840332,2.3392856121063232,24197.46875,9.093618392944336,5.421306610107422,12.91808032989502,4.403225898742676,25801.5078125,11.437582969665527,7.235499858856201,15.477167129516602,0.8433333039283752,37814.609375,15.129976272583008,10.830984115600586,19.508403778076172,1.2806451320648193,39740.25390625,20.766887664794922,15.493833541870117,25.638832092285156,0.4233333170413971,47392.421875,24.554975509643555,19.501951217651367,29.49388885498047,1.55483877658844,46194.40234375,19.277692794799805,15.295499801635742,23.179370880126953,0.8645160794258118,39647.1640625,20.09598731994629,15.962166786193848,24.993833541870117,3.6666669845581055,35337.82421875,16.65652084350586,13.626145362854004,20.321306228637695,4.580644607543945,25826.15234375,11.546263694763184,8.192166328430176,15.157166481018066,2.3966667652130127,20744.78515625,6.025204181671143,3.243887186050415,9.179370880126953,1.6645160913467407,19047.8671875
Donna Cora Spumante 2011,Italy,Toscana,Antinori,3.8,27,41.29,2011,43.4586541,11.1389204,3.64736270904541,0.3205483853816986,7.372161388397217,3.277419328689575,19159.01953125,5.662193298339844,1.5252143144607544,9.95378589630127,3.8714287281036377,20557.576171875,7.891448497772217,3.3479676246643066,12.312483787536621,2.5580646991729736,28177.740234375,12.13859748840332,6.320333480834961,17.31366729736328,2.3633334636688232,37410.94921875,15.364232063293457,10.55280590057373,19.70442008972168,5.3580641746521,36900.22265625,20.15595817565918,14.97700023651123,24.888668060302734,2.430000066757202,44441.04296875,24.835535049438477,18.960872650146484,30.26087188720703,1.2000000476837158,47411.453125,22.076194763183594,16.822160720825195,27.07054901123047,1.9096773862838745,42890.81640625,18.4290828704834,13.203665733337402,23.528667449951172,2.8399999141693115,36234.61328125,13.03103256225586,8.709258079528809,17.380226135253906,3.2354838848114014,28843.005859375,9.779778480529785,6.540333271026611,13.245333671569824,7.640000343322754,18036.474609375,5.038693428039551,1.7286127805709839,8.559258460998535,5.480645656585693,16664.2109375
Asti Dolce 2017,Italy,Asti,Fontanafredda,3.6,27,14.87,2017,44.8260126,8.2026863,3.7577662467956543,0.4039354920387268,7.965225696563721,0.6903225779533386,19328.865234375,6.431755542755127,2.4809653759002686,10.513724327087402,5.396551609039307,18008.51171875,8.04721450805664,2.6232903003692627,13.534581184387207,1.754838466644287,30755.79296875,13.42276382446289,9.068666458129883,17.955333709716797,1.2833333015441895,38640.34765625,15.669929504394531,10.42490291595459,20.471677780151367,2.9483871459960938,37452.98828125,21.011098861694336,15.995333671569824,25.911998748779297,1.9700000286102295,46334.9453125,24.317039489746094,19.052322387695312,29.357162475585938,2.200000047683716,46633.72265625,23.694931030273438,19.023290634155273,28.465225219726562,1.7225805521011353,43035.30078125,20.55533218383789,15.621999740600586,25.643667221069336,1.340000033378601,38522.23828125,12.644124031066895,8.95877456665039,16.44103240966797,2.8935482501983643,23042.9296875,7.905333518981934,4.883666515350342,11.177000045776367,4.196666717529297,17319.08203125,4.203868389129639,0.7071612477302551,8.908774375915527,1.2967742681503296,20529.43359375
Riesling Brut 2008,Germany,Rheinhessen,Raumland,3.7,28,27.95,2008,49.9045181,8.2711082,5.706242084503174,3.360274314880371,7.750596523284912,1.929032325744629,10516.119140625,5.368336200714111,2.2420713901519775,8.76528549194336,2.2464284896850586,15158.5087890625,6.956913948059082,2.408661365509033,11.360273361206055,2.1258065700531006,26335.50390625,13.044819831848145,6.338500022888184,19.06683349609375,0.03333333507180214,43601.1875,15.636080741882324,10.829628944396973,19.90704917907715,2.7161288261413574,35486.875,18.57058334350586,14.13516616821289,22.620168685913086,3.563333034515381,42057.91015625,18.169279098510742,13.808660507202148,22.197372436523438,3.18709659576416,39670.48828125,17.908863067626953,13.216726303100586,22.137693405151367,3.177419424057007,36234.26953125,13.91218090057373,9.630167007446289,17.988500595092773,2.06333327293396,26279.6875,9.891725540161133,6.395757675170898,13.531242370605469,0.5580645799636841,21615.654296875,4.563638687133789,2.1584999561309814,7.056833267211914,1.756666660308838,12608.62890625,1.979427456855774,-0.128435418009758,4.252209663391113,1.8161289691925049,13178.4951171875
Giovanni Galliano Brut Rosé 2016,Italy,Piemonte,Borgo Maragliano,3.7,28,22.9,2016,45.060735,7.923549,2.880502700805664,-0.6135161519050598,7.236484050750732,1.1419355869293213,22208.494140625,2.560746908187866,-1.9293571710586548,6.997428894042969,4.89642858505249,21878.568359375,7.964844226837158,3.1864840984344482,12.709065437316895,4.158064365386963,28534.5390625,12.318292617797852,6.926000118255615,17.232666015625,2.9766666889190674,35852.9921875,16.45462989807129,11.618741989135742,20.94132423400879,4.270967483520508,38711.4765625,20.477529525756836,15.702667236328125,24.911001205444336,4.076666831970215,43821.12109375,25.86981773376465,20.413902282714844,30.667129516601562,0.774193525314331,46055.90234375,22.212223052978516,17.513904571533203,26.71874237060547,3.4419355392456055,37750.16796875,16.767667770385742,12.946000099182129,20.715999603271484,2.2033333778381348,29360.50390625,12.071901321411133,8.926807403564453,15.409064292907715,4.2419352531433105,23090.966796875,7.860167026519775,3.577666759490967,13.069334030151367,0.28999999165534973,28795.923828125,4.7137017250061035,1.6332581043243408,8.542935371398926,0.09354838728904724,21059.015625
